,timestamp,adjusted_close
462,2016-08-30,37.0
463,2016-08-29,37.29
464,2016-08-26,37.65
465,2016-08-25,37.51
466,2016-08-24,37.52
467,2016-08-23,37.86
468,2016-08-22,38.11
469,2016-08-19,38.09
470,2016-08-18,38.22
471,2016-08-17,38.14
472,2016-08-16,38.38
473,2016-08-15,38.46
474,2016-08-12,38.51
475,2016-08-11,38.46
476,2016-08-10,38.07
477,2016-08-09,38.1
478,2016-08-08,37.91
479,2016-08-05,38.1
480,2016-08-04,37.3
481,2016-08-03,36.58
482,2016-08-02,36.54
483,2016-08-01,37.06
484,2016-07-29,37.24
485,2016-07-28,37.22
486,2016-07-27,37.22
487,2016-07-26,37.69
488,2016-07-25,37.78
489,2016-07-22,37.42
490,2016-07-21,40.13
491,2016-07-20,40.05
492,2016-07-19,39.37
493,2016-07-18,38.92
494,2016-07-15,39.09
495,2016-07-14,39.96
496,2016-07-13,39.28
497,2016-07-12,38.79
498,2016-07-11,38.15
499,2016-07-08,37.36
500,2016-07-07,36.32
501,2016-07-06,35.93
502,2016-07-05,36.12
503,2016-07-01,36.35
504,2016-06-30,36.51
505,2016-06-29,35.77
506,2016-06-28,35.24
507,2016-06-27,34.2
508,2016-06-24,35.08
509,2016-06-23,36.66
510,2016-06-22,36.0
511,2016-06-21,36.16
512,2016-06-20,36.86
513,2016-06-17,36.97
514,2016-06-16,36.97
515,2016-06-15,36.84
516,2016-06-14,37.16
517,2016-06-13,36.54
518,2016-06-10,36.77
519,2016-06-09,37.13
520,2016-06-08,37.55
521,2016-06-07,37.57
522,2016-06-06,38.1
523,2016-06-03,38.33
524,2016-06-02,38.56
525,2016-06-01,38.31
526,2016-05-31,37.79
527,2016-05-27,38.09
528,2016-05-26,38.07
529,2016-05-25,38.76
530,2016-05-24,38.92
531,2016-05-23,38.07
532,2016-05-20,37.53
533,2016-05-19,37.65
534,2016-05-18,38.98
535,2016-05-17,39.065
536,2016-05-16,39.3
537,2016-05-13,39.48
538,2016-05-12,39.51
539,2016-05-11,39.71
540,2016-05-10,40.11
541,2016-05-09,39.62
542,2016-05-06,39.48
543,2016-05-05,38.95
544,2016-05-04,38.31
545,2016-05-03,38.36
546,2016-05-02,39.02
547,2016-04-29,39.18
548,2016-04-28,40.07
549,2016-04-27,40.01
550,2016-04-26,39.73
551,2016-04-25,39.82
552,2016-04-22,40.31
553,2016-04-21,40.1
554,2016-04-20,40.08
555,2016-04-19,39.24
556,2016-04-18,39.64
557,2016-04-15,38.58
558,2016-04-14,38.64
559,2016-04-13,38.79
560,2016-04-12,37.8
561,2016-04-11,38.06
562,2016-04-08,38.41
563,2016-04-07,38.28
564,2016-04-06,39.16
565,2016-04-05,38.55
566,2016-04-04,38.79
567,2016-04-01,39.4
568,2016-03-31,38.6
569,2016-03-30,39.04
570,2016-03-29,39.53
571,2016-03-28,38.74
572,2016-03-24,38.92
573,2016-03-23,40.52
574,2016-03-22,41.32
575,2016-03-21,41.14
576,2016-03-18,39.41
577,2016-03-17,39.93
578,2016-03-16,39.84
579,2016-03-15,39.27
580,2016-03-14,39.38
581,2016-03-11,39.49
582,2016-03-10,38.49
583,2016-03-09,38.57
584,2016-03-08,38.16
585,2016-03-07,38.98
586,2016-03-04,39.04
587,2016-03-03,39.02
588,2016-03-02,39.16
589,2016-03-01,39.25
590,2016-02-29,38.14
591,2016-02-26,37.49
592,2016-02-25,36.74
593,2016-02-24,36.47
594,2016-02-23,35.48
595,2016-02-22,36.0
596,2016-02-19,35.76
597,2016-02-18,36.31
598,2016-02-17,36.36
599,2016-02-16,35.46
600,2016-02-12,34.3
601,2016-02-11,33.52
602,2016-02-10,32.9
603,2016-02-09,32.7
604,2016-02-08,33.61
605,2016-02-05,35.07
606,2016-02-04,37.17
607,2016-02-03,37.01
608,2016-02-02,36.83
609,2016-02-01,37.08
610,2016-01-29,36.14
611,2016-01-28,34.24
612,2016-01-27,31.59
613,2016-01-26,31.97
614,2016-01-25,31.47
615,2016-01-22,31.69
616,2016-01-21,31.2
617,2016-01-20,31.2
618,2016-01-19,32.2
619,2016-01-15,32.31
620,2016-01-14,32.87
621,2016-01-13,32.12
622,2016-01-12,33.08
623,2016-01-11,33.04
624,2016-01-08,32.69
625,2016-01-07,33.13
626,2016-01-06,33.98
627,2016-01-05,34.31
628,2016-01-04,34.75
629,2015-12-31,36.2
630,2015-12-30,36.48
631,2015-12-29,37.08
632,2015-12-28,36.61
633,2015-12-24,37.07
634,2015-12-23,37.11
635,2015-12-22,36.805
636,2015-12-21,36.08
637,2015-12-18,34.98
638,2015-12-17,35.54
639,2015-12-16,35.98
640,2015-12-15,36.32
641,2015-12-14,35.01
642,2015-12-11,34.69
643,2015-12-10,35.49
644,2015-12-09,35.07
645,2015-12-08,35.6
646,2015-12-07,35.16
647,2015-12-04,35.62
648,2015-12-03,34.23
649,2015-12-02,35.15
650,2015-12-01,35.17
651,2015-11-30,35.26
652,2015-11-27,35.18
653,2015-11-25,35.36
654,2015-11-24,35.12
655,2015-11-23,35.56
656,2015-11-20,36.36
657,2015-11-19,36.19
658,2015-11-18,36.22
659,2015-11-17,36.21
660,2015-11-16,35.61
661,2015-11-13,34.53
662,2015-11-12,35.57
663,2015-11-11,36.33
664,2015-11-10,37.0
665,2015-11-09,36.6
666,2015-11-06,36.24
667,2015-11-05,36.71
668,2015-11-04,37.6
669,2015-11-03,37.9
670,2015-11-02,36.99
671,2015-10-30,36.01
672,2015-10-29,35.91
673,2015-10-28,36.52
674,2015-10-27,35.94
675,2015-10-26,36.44
676,2015-10-23,34.99
677,2015-10-22,34.79
678,2015-10-21,33.83
679,2015-10-20,34.87
680,2015-10-19,34.84
681,2015-10-16,34.29
682,2015-10-15,34.62
683,2015-10-14,34.05
684,2015-10-13,33.22
685,2015-10-12,32.63
686,2015-10-09,32.06
687,2015-10-08,31.67
688,2015-10-07,32.38
689,2015-10-06,31.86
690,2015-10-05,32.67
691,2015-10-02,32.83
692,2015-10-01,31.48
693,2015-09-30,31.04
694,2015-09-29,30.63
695,2015-09-28,32.25
696,2015-09-25,33.77
697,2015-09-24,33.91
698,2015-09-23,34.16
